Year ,Month ,EntityID ,Entity Name ,Plant Producer T ype ,Plant Name ,Plant State ,Plant ID ,Generator ID ,Net Summer Capacity (MW) ,Technology ,Energy Source Code ,Prime Mover Code ,Status ,Nameplate Capacity (MW) 
2016,5,40577,"American Mun Power-Ohio, Inc ",Electric Utility ,Cannelton Hydroelectric Plant ,KY ,57399,CG3 ,29.3,Conventional Hydroelectric ,WAT ,HY ,"(V) Under construction, more than 50 percent complete ",29.3
2016,5,59359,"BHE Renewables, LLC ",IPP ,Marshall Wind Farm ,KS ,59084,RPMA ,73.8,Onshore Wind Turbine ,WND ,WT ,"(TS) Construction complete, but not yet in commercial operation ",73.8
2016,5,58685,Beaver Dam Energy LLC ,IPP ,Beaver Dam ,PA ,58811,GEN1 ,4.2,Natural Gas Internal Combustion Engine ,NG ,IC ,"(V) Under construction, more than 50 percent complete ",4.4
2016,5,58685,Beaver Dam Energy LLC ,IPP ,Beaver Dam ,PA ,58811,GEN2 ,4.2,Natural Gas Internal Combustion Engine ,NG ,IC ,"(V) Under construction, more than 50 percent complete ",4.4
2016,5,58685,Beaver Dam Energy LLC ,IPP ,Beaver Dam ,PA ,58811,GEN3 ,4.2,Natural Gas Internal Combustion Engine ,NG ,IC ,"(V) Under construction, more than 50 percent complete ",4.4
2016,5,58685,Beaver Dam Energy LLC ,IPP ,Beaver Dam ,PA ,58811,GEN4 ,4.2,Natural Gas Internal Combustion Engine ,NG ,IC ,"(V) Under construction, more than 50 percent complete ",4.4
2016,5,58685,Beaver Dam Energy LLC ,IPP ,Beaver Dam ,PA ,58811,GEN5 ,4.2,Natural Gas Internal Combustion Engine ,NG ,IC ,"(V) Under construction, more than 50 percent complete ",4.4
2016,5,59843,"Blythe Solar II, LLC ",IPP ,"Blythe Solar II, LLC ",CA ,60092,BLCK4 ,33.2,Solar Photovoltaic ,SUN ,PV ,"(V) Under construction, more than 50 percent complete ",33.2
2016,5,57365,Consolidated Edison Solutions Inc ,IPP ,Future Generation Wind ,MA ,59622,FGMA ,7.9,Onshore Wind Turbine ,WND ,WT ,"(TS) Construction complete, but not yet in commercial operation ",8.0
2016,5,58468,Dominion Renewable Energy ,IPP ,Marin Carport ,CA ,59703,1,1.0,Solar Photovoltaic ,SUN ,PV ,"(V) Under construction, more than 50 percent complete ",1.0
2016,5,5701,El Paso Electric Co ,Electric Utility ,Montana Power Station ,TX ,58562,GT-3 ,100.0,Natural Gas Fired Combustion Turbine ,NG ,GT ,"(TS) Construction complete, but not yet in commercial operation ",131.8
2016,5,5860,Empire District Electric Co ,Electric Utility ,Riverton ,KS ,1239,12-2 ,138.0,Natural Gas Fired Combined Cycle ,NG ,CA ,"(TS) Construction complete, but not yet in commercial operation ",250.0
2016,5,60158,"Flint Hill Solar, LLC ",IPP ,"Flint Hill Solar, LLC ",NC ,60370,FHSPV ,5.2,Solar Photovoltaic ,SUN ,PV ,"(TS) Construction complete, but not yet in commercial operation ",5.2
2016,5,6452,Florida Power & Light Co ,Electric Utility ,Daytona International Speedway Solar ,FL ,60005,1,0.8,Solar Photovoltaic ,SUN ,PV ,"(V) Under construction, more than 50 percent complete ",1.6
2016,5,6452,Florida Power & Light Co ,Electric Utility ,FIU Solar ,FL ,60006,1,0.8,Solar Photovoltaic ,SUN ,PV ,"(V) Under construction, more than 50 percent complete ",1.6
2016,5,7349,"Golden Spread Electric Cooperative, Inc ",Electric Utility ,Elk Station ,TX ,58835,ELK2 ,189.0,Natural Gas Fired Combustion Turbine ,NG ,GT ,"(TS) Construction complete, but not yet in commercial operation ",202.0
2016,5,7349,"Golden Spread Electric Cooperative, Inc ",Electric Utility ,Elk Station ,TX ,58835,ELK3 ,189.0,Natural Gas Fired Combustion Turbine ,NG ,GT ,"(TS) Construction complete, but not yet in commercial operation ",202.0
2016,5,10171,Kentucky Utilities Co ,Electric Utility ,E W Brown ,KY ,1355,SOLAR ,8.0,Solar Photovoltaic ,SUN ,PV ,"(V) Under construction, more than 50 percent complete ",10.0
2016,5,59120,"Los Vientos Windpower IV, LLC ",IPP ,Los Vientos Windpower IV ,TX ,59321,GEN1 ,200.0,Onshore Wind Turbine ,WND ,WT ,"(V) Under construction, more than 50 percent complete ",200.0
2016,5,26253,Louisiana Energy & Power Authority ,Electric Utility ,LEPA Unit No. 1 ,LA ,58478,LEPA1 ,59.0,Natural Gas Fired Combined Cycle ,NG ,CC ,"(TS) Construction complete, but not yet in commercial operation ",64.0
2016,5,60145,NRG Solar Las Vegas MB 2 ,IPP ,"NRG Solar Las Vegas MB 2, LLC ",NV ,60350,LVMB2 ,1.5,Solar Photovoltaic ,SUN ,PV ,"(V) Under construction, more than 50 percent complete ",1.9
2016,5,40229,Old Dominion Electric Coop ,Electric Utility ,Monterey Diesel Generation Facility ,VA ,59614,MDG1 ,0.6,Petroleum Liquids ,DFO ,IC ,"(TS) Construction complete, but not yet in commercial operation ",0.6
2016,5,40229,Old Dominion Electric Coop ,Electric Utility ,Monterey Diesel Generation Facility ,VA ,59614,MDG10 ,0.6,Petroleum Liquids ,DFO ,IC ,"(TS) Construction complete, but not yet in commercial operation ",0.6
2016,5,40229,Old Dominion Electric Coop ,Electric Utility ,Monterey Diesel Generation Facility ,VA ,59614,MDG2 ,0.6,Petroleum Liquids ,DFO ,IC ,"(TS) Construction complete, but not yet in commercial operation ",0.6
2016,5,40229,Old Dominion Electric Coop ,Electric Utility ,Monterey Diesel Generation Facility ,VA ,59614,MDG3 ,0.6,Petroleum Liquids ,DFO ,IC ,"(TS) Construction complete, but not yet in commercial operation ",0.6
2016,5,40229,Old Dominion Electric Coop ,Electric Utility ,Monterey Diesel Generation Facility ,VA ,59614,MDG4 ,0.6,Petroleum Liquids ,DFO ,IC ,"(TS) Construction complete, but not yet in commercial operation ",0.6
2016,5,40229,Old Dominion Electric Coop ,Electric Utility ,Monterey Diesel Generation Facility ,VA ,59614,MDG5 ,0.6,Petroleum Liquids ,DFO ,IC ,"(TS) Construction complete, but not yet in commercial operation ",0.6
2016,5,40229,Old Dominion Electric Coop ,Electric Utility ,Monterey Diesel Generation Facility ,VA ,59614,MDG6 ,0.6,Petroleum Liquids ,DFO ,IC ,"(TS) Construction complete, but not yet in commercial operation ",0.6
2016,5,40229,Old Dominion Electric Coop ,Electric Utility ,Monterey Diesel Generation Facility ,VA ,59614,MDG7 ,0.6,Petroleum Liquids ,DFO ,IC ,"(TS) Construction complete, but not yet in commercial operation ",0.6
2016,5,40229,Old Dominion Electric Coop ,Electric Utility ,Monterey Diesel Generation Facility ,VA ,59614,MDG8 ,0.6,Petroleum Liquids ,DFO ,IC ,"(TS) Construction complete, but not yet in commercial operation ",0.6
2016,5,40229,Old Dominion Electric Coop ,Electric Utility ,Monterey Diesel Generation Facility ,VA ,59614,MDG9 ,0.6,Petroleum Liquids ,DFO ,IC ,"(TS) Construction complete, but not yet in commercial operation ",0.6
2016,5,58417,Panda Liberty O&M LLC ,IPP ,Panda Liberty Generation Plant ,PA ,58420,GEN1 ,382.5,Natural Gas Fired Combined Cycle ,NG ,CC ,"(TS) Construction complete, but not yet in commercial operation ",435.0
2016,5,58417,Panda Liberty O&M LLC ,IPP ,Panda Liberty Generation Plant ,PA ,58420,GEN2 ,382.5,Natural Gas Fired Combined Cycle ,NG ,CC ,"(TS) Construction complete, but not yet in commercial operation ",435.0
2016,5,60068,Red Horse III ,IPP ,Red Horse III ,AZ ,60285,RH3 ,30.0,Solar Photovoltaic ,SUN ,PV ,"(V) Under construction, more than 50 percent complete ",30.0
2016,5,59766,"SR Jenkins, LLC ",IPP ,SR Jenkins Ft Lupton ,CO ,60023,FTLUP ,13.0,Solar Photovoltaic ,SUN ,PV ,"(V) Under construction, more than 50 percent complete ",13.0
2016,5,58544,Sierra Nevada Brewing Co ,Industrial ,Sierra Nevada Brewing Co ,CA ,58585,COGN ,1.7,Natural Gas Fired Combustion Turbine ,NG ,GT ,"(V) Under construction, more than 50 percent complete ",2.0
2016,5,59363,"Silver State Solar Power South, LLC ",IPP ,Silver State Solar Power South ,NV ,58644,BLK7 ,35.0,Solar Photovoltaic ,SUN ,PV ,"(U) Under construction, less than or equal to 50 percent complete ",35.0
2016,5,59698,"Sky Global Power One Pledgor, LLC ",IPP ,Sky Global Power One ,TX ,59938,UNIT1 ,8.3,Natural Gas Internal Combustion Engine ,NG ,IC ,"(TS) Construction complete, but not yet in commercial operation ",8.5
2016,5,59698,"Sky Global Power One Pledgor, LLC ",IPP ,Sky Global Power One ,TX ,59938,UNIT2 ,8.3,Natural Gas Internal Combustion Engine ,NG ,IC ,"(TS) Construction complete, but not yet in commercial operation ",8.5
2016,5,59698,"Sky Global Power One Pledgor, LLC ",IPP ,Sky Global Power One ,TX ,59938,UNIT3 ,8.3,Natural Gas Internal Combustion Engine ,NG ,IC ,"(TS) Construction complete, but not yet in commercial operation ",8.5
2016,5,59698,"Sky Global Power One Pledgor, LLC ",IPP ,Sky Global Power One ,TX ,59938,UNIT4 ,8.3,Natural Gas Internal Combustion Engine ,NG ,IC ,"(TS) Construction complete, but not yet in commercial operation ",8.5
2016,5,59698,"Sky Global Power One Pledgor, LLC ",IPP ,Sky Global Power One ,TX ,59938,UNIT5 ,8.3,Natural Gas Internal Combustion Engine ,NG ,IC ,"(TS) Construction complete, but not yet in commercial operation ",8.5
2016,5,59698,"Sky Global Power One Pledgor, LLC ",IPP ,Sky Global Power One ,TX ,59938,UNIT6 ,8.3,Natural Gas Internal Combustion Engine ,NG ,IC ,"(TS) Construction complete, but not yet in commercial operation ",8.5
2016,5,57313,SolarCity Corporation ,IPP ,Jackson Board of Education-Liberty HS ,NJ ,60113,PV1 ,1.2,Solar Photovoltaic ,SUN ,PV ,"(TS) Construction complete, but not yet in commercial operation ",1.2
2016,5,57313,SolarCity Corporation ,IPP ,Oregon Convention Center ,OR ,60112,PV1 ,1.4,Solar Photovoltaic ,SUN ,PV ,"(TS) Construction complete, but not yet in commercial operation ",1.4
2016,5,60117,SunShare ,IPP ,"Jeffco Community Solar Gardens, LLC ",CO ,60320,SSCO1 ,1.2,Solar Photovoltaic ,SUN ,PV ,"(V) Under construction, more than 50 percent complete ",1.2
2016,5,58661,"Sustainable Power Group, LLC ",IPP ,Central Antelope Dry Ranch C ,CA ,59963,CADRC ,20.0,Solar Photovoltaic ,SUN ,PV ,"(V) Under construction, more than 50 percent complete ",20.0
2016,5,58661,"Sustainable Power Group, LLC ",IPP ,Leavenworth Greenworks LLC ,NY ,59276,LEAVG ,9.5,Solar Photovoltaic ,SUN ,PV ,"(V) Under construction, more than 50 percent complete ",9.5
2016,5,59570,"TWE Kelford Solar Project, LLC ",IPP ,Kelford ,NC ,59796,FLS1 ,4.7,Solar Photovoltaic ,SUN ,PV ,"(TS) Construction complete, but not yet in commercial operation ",5.0
2016,5,60067,Westside Assets LLC ,IPP ,Westside Solar Power PV1 ,CA ,60275,W SPV1 ,2.0,Solar Photovoltaic ,SUN ,PV ,"(TS) Construction complete, but not yet in commercial operation ",2.0
2016,5,20910,Wolverine Power Supply Coop ,Electric Utility ,Alpine Power Plant ,MI ,59926,AI1 ,202.6,Natural Gas Fired Combustion Turbine ,NG ,GT ,"(V) Under construction, more than 50 percent complete ",226.9
2016,5,20910,Wolverine Power Supply Coop ,Electric Utility ,Alpine Power Plant ,MI ,59926,AI2 ,202.6,Natural Gas Fired Combustion Turbine ,NG ,GT ,"(V) Under construction, more than 50 percent complete ",226.9
2016,6,221,"Alaska Village Elec Coop, Inc ",Electric Utility ,Hooper Bay ,AK ,6319,5A ,0.8,Petroleum Liquids ,DFO ,IC ,"(TS) Construction complete, but not yet in commercial operation ",0.8
2016,6,59050,Algonquin Power Co ,IPP ,"Algonquin SKIC 10 Solar, LLC ",CA ,60242,SKI10 ,10.0,Solar Photovoltaic ,SUN ,PV ,"(U) Under construction, less than or equal to 50 percent complete ",10.0
2016,6,772,Archer Daniels Midland Co ,Industrial ,Archer Daniels Midland Cedar Rapids ,IA ,10864,GEN7 ,35.0,Natural Gas Fired Combustion Turbine ,NG ,GT ,"(V) Under construction, more than 50 percent complete ",38.5
2016,6,14534,City of Pasadena - (CA) ,Electric Utility ,Glenarm ,CA ,422,GT5 ,68.0,Natural Gas Fired Combined Cycle ,NG ,CC ,"(V) Under construction, more than 50 percent complete ",71.0
2016,6,59429,Comanche LLC ,IPP ,Comanche Solar ,CO ,59656,COMCH ,120.0,Solar Photovoltaic ,SUN ,PV ,"(U) Under construction, less than or equal to 50 percent complete ",120.0
2016,6,56769,Consolidated Edison Development Inc. ,IPP ,"CED Westfield Solar, LLC ",MA ,60274,W FMA ,2.0,Solar Photovoltaic ,SUN ,PV ,(T) Regulatory approvals received. Not under construction ,2.0
2016,6,57044,"Constellation Solar New Jersey, LLC ",IPP ,NHA at Mansfield NJ ,NJ ,60378,PV1 ,5.0,Solar Photovoltaic ,SUN ,PV ,"(V) Under construction, more than 50 percent complete ",5.0
2016,6,58695,Coronal Development Services ,IPP ,Holdrege Solar Center ,NE ,59713,HDSC ,4.0,Solar Photovoltaic ,SUN ,PV ,"(V) Under construction, more than 50 percent complete ",4.0
2016,6,58889,"Dominion Cove Point LNG, LP ",Commercial ,Cove Point LNG Terminal ,MD ,59073,5EG ,1.0,Petroleum Liquids ,DFO ,IC ,"(U) Under construction, less than or equal to 50 percent complete ",1.0
2016,6,6455,"Duke Energy Florida, Inc ",Electric Utility ,Perry Solar Facility ,FL ,60071,XXXXX ,5.1,Solar Photovoltaic ,SUN ,PV ,"(U) Under construction, less than or equal to 50 percent complete ",5.1
2016,6,59765,Eight Flags Energy LLC ,Electric CHP ,Eight Flags Energy ,FL ,60025,1,19.8,Natural Gas Fired Combustion Turbine ,NG ,GT ,"(V) Under construction, more than 50 percent complete ",21.0
2016,6,59745,First Solar Asset Management ,IPP ,"Rancho Seco Solar, LLC ",CA ,60226,GEN01 ,10.8,Solar Photovoltaic ,SUN ,PV ,"(U) Under construction, less than or equal to 50 percent complete ",10.8
2016,6,59939,"Floyd Solar, LLC ",IPP ,"Floyd Solar, LLC ",NC ,60147,FLS1 ,6.5,Solar Photovoltaic ,SUN ,PV ,"(V) Under construction, more than 50 percent complete ",6.5
2016,6,59263,"Fresh Air Energy XVIII, LLC ",IPP ,Meadows PV 1 ,NC ,59513,MEAD1 ,20.0,Solar Photovoltaic ,SUN ,PV ,"(U) Under construction, less than or equal to 50 percent complete ",20.0
2016,6,59776,"Frontier Solar, LLC ",IPP ,Frontier Solar LLC ,CA ,60039,FTRS ,20.0,Solar Photovoltaic ,SUN ,PV ,"(TS) Construction complete, but not yet in commercial operation ",20.0
2016,6,57104,Golden Springs Development Company LLC ,IPP ,Building F ,CA ,60151,BLDGF ,1.3,Solar Photovoltaic ,SUN ,PV ,"(V) Under construction, more than 50 percent complete ",1.3
2016,6,57104,Golden Springs Development Company LLC ,IPP ,Dulles ,CA ,60182,DULLE ,2.0,Solar Photovoltaic ,SUN ,PV ,"(V) Under construction, more than 50 percent complete ",2.0
2016,6,57104,Golden Springs Development Company LLC ,IPP ,Freeway Springs ,CA ,60183,FSPRI ,2.0,Solar Photovoltaic ,SUN ,PV ,"(V) Under construction, more than 50 percent complete ",2.0
2016,6,9273,Indianapolis Power & Light Co ,Electric Utility ,Harding Street ,IN ,990,BAT1 ,20.0,Batteries ,MWH ,BA ,"(V) Under construction, more than 50 percent complete ",20.0
2016,6,59452,"Ingenco Renewable Development, LLC ",IPP ,Bristol Plant ,VA ,60222,A1 ,0.3,Landfill Gas ,LFG ,IC ,"(V) Under construction, more than 50 percent complete ",0.3
2016,6,59452,"Ingenco Renewable Development, LLC ",IPP ,Bristol Plant ,VA ,60222,A2 ,0.3,Landfill Gas ,LFG ,IC ,"(V) Under construction, more than 50 percent complete ",0.3
2016,6,59452,"Ingenco Renewable Development, LLC ",IPP ,Bristol Plant ,VA ,60222,A3 ,0.3,Landfill Gas ,LFG ,IC ,"(V) Under construction, more than 50 percent complete ",0.3
2016,6,59452,"Ingenco Renewable Development, LLC ",IPP ,Bristol Plant ,VA ,60222,A4 ,0.3,Landfill Gas ,LFG ,IC ,"(V) Under construction, more than 50 percent complete ",0.3
2016,6,59452,"Ingenco Renewable Development, LLC ",IPP ,Bristol Plant ,VA ,60222,A5 ,0.3,Landfill Gas ,LFG ,IC ,"(V) Under construction, more than 50 percent complete ",0.3
