"","Period","Total.Renewable","Hydroelectric","Wind","Wood","Solar.Photovoltaic","Solar.Thermal","Biomass","Geothermal"
"1",2006,385772,289246,26589,38762,15,493,16099,14568
"2",2007,352747,247510,34450,39014,16,596,16525,14637
"3",2008,380932,254831,55363,37300,76,788,17734,14840
"4",2009,417724,273445,73886,36050,157,735,18443,15009
"5",2010,427376,260203,94652,37172,423,789,18917,15219
"6",2011,513336,319355,120177,37449,1012,806,19222,15316
"7",2012,494573,276240,140822,37799,3451,876,19823,15562
"8",2013,522073,268565,167840,40028,8121,915,20830,15775
"9",2014,538579,259367,181655,42340,15250,2441,21650,15877
"10",2015,549527,251168,190927,42358,23232,3241,21832,16767
