beds,$sqft,location,address,price,baths,sqft,days
4,$286,Lake Oswego,12870 Elk Rock Rd,"$785,000",3,"2,742",12 days
5,$176,Country Commons,639 Carrera Ln,"$759,000",3.5,"4,305",95 days
3,$244,Lake Oswego,13855 Verte Ct,"$449,000",2.5,"1,835",226 days
5,$192,Lake Oswego,13060 Elk Rock Rd,"$710,000",3,"3,681",295 days
3,$204,Lake Oswego,796 1st St,"$841,350",2.5,"4,108",348 days
3,$279,Lake Oswego,1293 Hide A Way LnSold by: Redfin,"$480,000",2.5,"1,720",367 days
3,$290,Forest Hills,555 Country Club Rd,"$619,950",3,"2,133",395 days
2,$244,First Addition,550 2nd St,"$376,000",2,"1,540",450 days
5,$229,Lake Oswego,1380 Bonniebrae Dr,"$675,000",3,"2,940",471 days
3,$398,FIRST ADDITION,980 C Ave,"$522,500",2,"1,312",477 days
4,$351,FIRST ADDITION,816 4th St,"$949,900",2.5,"2,699",484 days
4,$217,Country Commons,1051 Country Commons Ln,"$779,900",2.5,"3,582",533 days
3,$165,Red Fox Hills,1803 Boca Ratan DrSold by: Redfin,"$288,000",2.5,"1,739",541 days
3,$157,Red Fox Hills,1531 Boca Ratan Dr,"$277,000",2,"1,755",603 days
4,$218,Lake Oswego,14144 Goodall Rd,"$765,000",3,"3,499",621 days
4,$147,Lake Oswego,1818 Country Club Rd,"$300,000",2,"2,032",666 days
2,$283,first addition/downtown lo,466 5th St #14,"$310,000",1.5,"1,092",673 days
2,$251,First Addition,432 5th St #1,"$275,000",1.5,"1,092",681 days
2,$326,First Addition,529 2nd St,"$437,500",2,"1,339",682 days
2,$289,First Addition,562 2nd St,"$377,000",2.5,"1,302",687 days
4,$217,Forest Highlands,13777 Cameo Ct,"$1,585,000",5.5,"7,300",690 days
3,$310,First Addition,827 5th St,"$659,000",2,"2,124",704 days
4,$217,"1st Addition, First Addition",755 6th St,"$909,000",3.5,"4,170",722 days
2,$158,Red Fox Hills Townhouse Assoc,1368 Boca Ratan Dr,"$255,000",2,"1,611",726 days
3,$173,RED FOX HILLS,1796 Bonniebrae Dr,"$310,000",2.5,"1,782",821 days
4,$226,Forest Hills,920 SW York Rd,"$415,000",2.5,"1,836",941 days
4,$185,Lake Oswego,621 Country Club Rd,"$613,000",2.5,"3,300",960 days
4,$264,Lake Oswego,280 E Ave,"$660,000",2.5,"2,500",967 days
3,$184,Lake Oswego,791 Briercliff Ln,"$320,000",2.5,"1,736",991 days
3,$228,Lake Oswego,895 SW York Rd,"$440,000",2,"1,924",1017 days
2,$163,Oswego Pointe,5056 Foothills Dr Unit D,"$205,000",2,"1,252",1032 days
4,$147,1st Addition,908 Cumberland Pl,"$400,000",3,"2,715",1065 days
2,$196,Talisman,750 1st St Unit A12,"$265,000",2,"1,350",2 days
2,$336,FIRST ADDITION,534 2nd St #16,"$469,000",2.5,"1,394",3 days
5,$435,FOREST HILLS,1255 Chandler Rd,"$1,400,000",3,"3,212",3 days
2,$287,Lake Oswego,528 2nd St,"$489,900",2.5,"1,703",4 days
5,$289,Lake Oswego,784 3rd St,"$1,200,000",5,"4,138",8 days
3,$334,KNAUS/ATWATER,610 Atwater Rd,"$992,000",2.5,"2,969",10 days
3,$460,FIRST ADDITION,711 7th St,"$1,425,000",3,"3,097",10 days
3,$340,First Addition,659 4th St,"$812,475",2.5,"2,388",15 days
3,$344,First Addition,412 8th St,"$888,000",2.5,"2,580",17 days
4,$287,Lake Oswego,448 Country Club Rd,"$1,400,000",3.5,"4,873",19 days
3,$433,Lake Oswego,348 5th St,"$875,000",2.5,"2,019",23 days
3,$213,Country Commons,839 Country Commons Ln,"$660,000",2.5,"3,089",30 days
3,$358,First Addition,454 9th St,"$1,174,000",4,"3,278",36 days
4,$402,Lake Oswego,1269 Lake Garden Ct,"$828,000",2.5,"2,056",36 days
3,$433,Lake Oswego,336 5th St,"$875,000",2.5,"2,018",36 days
4,$367,Lake Oswego,301 Iron Mountain Blvd,"$1,082,500",4,"2,946",47 days
4,$325,ALTO PARK ESTATES,12812 Alto Park Rd,"$1,314,000",3.5,"4,040",51 days
3,$240,UPLANDS,14540 Uplands Dr,"$650,000",2.5,"2,704",51 days
5,$318,First Addition,575 B Ave,"$1,125,000",3.5,"3,534",53 days
5,$236,Lake Oswego,14261 Uplands Dr,"$910,000",4,"3,843",57 days
4,$257,Lake Oswego,645 Country Club Rd,"$899,000",2.5,"3,494",57 days
3,$459,FIRST ADDITION,608 6th St,"$675,000",2,"1,470",57 days
4,$245,UPLANDS,2152 Wembley Pl,"$700,000",3,"2,854",59 days
3,$297,Lake Oswego,853 G Ave,"$535,000",2,"1,800",61 days
4,$379,FIRST ADDITION,630 8th St,"$1,075,000",2.5,"2,832",61 days
3,$234,FOREST HILLS,642 Iron Mountain Blvd,"$1,072,500",3,"4,575",64 days
4,$401,Country Commons,13237 Knaus Rd,"$1,965,000",4.5,"4,900",64 days
4,$188,Lake Oswego,14435 Uplands Dr,"$908,890",3.5,"4,822",66 days
4,$369,Lake Oswego,839 E Ave,"$637,000",2.5,"1,722",67 days
3,$333,FIRST ADDITION,588 9th St,"$1,180,000",3.5,"3,536",67 days
3,$424,FIRST ADDITION,844 5th St,"$1,100,000",3,"2,590",71 days
5,$320,Alto Park Estates,12842 Alto Park Rd,"$1,399,000",5,"4,359",74 days
2,$313,LAKE OSWEGO CONDOS,456 5th St #11Sold by: Redfin,"$342,000",1.5,"1,092",78 days
4,$363,Lake Oswego,14380 Uplands Dr,"$1,089,500",3.5,"2,996",80 days
4,$191,Lake Oswego,1145 Timberline Dr,"$875,000",2,"4,564",86 days
2,$296,Lake Oswego,676 9th St,"$560,000",1,"1,888",87 days
2,$223,Lake Oswego,5057 Foothills Dr Unit F,"$284,500",2,"1,272",92 days
4,$321,Lake Oswego,13056 Knaus Rd,"$1,688,000",3.5,"5,244",94 days
4,$342,FOREST HIGHLANDS,13050 Knaus Rd,"$1,650,000",3.5,"4,821",95 days
5,$202,GOODALL ROAD,13852 Shireva Dr,"$540,000",3,"2,664",96 days
4,$213,Lake Oswego,919 Cumberland Rd,"$605,000",3,"2,828",103 days
3,$386,First Addition,531 7th St,"$1,089,000",2.5,"2,818",107 days
4,$316,Uplands,14626 Uplands Dr,"$934,900",3,"2,951",107 days
3,$308,First Addition,625 3rd St,"$815,000",2.5,"2,643",110 days
4,$321,Alto Park,12838 Alto Park Rd,"$1,437,500",3.5,"4,475",113 days
