rating,school,address
"
      10
    ",Lincoln High School,"1600 SW Salmon St, Portland, OR 97205"
"
      10
    ",Riverdale High School,"9727 SW Terwilliger Blvd, Portland, OR 97219"
"
      9
    ",Sunset High School,"13840 NW Cornell Rd, Portland, OR 97229"
"
      8
    ",Westview High School,"4200 NW 185th Ave, Portland, OR 97229"
"
      7
    ",Grant High School,"2245 NE 36th Ave, Portland, OR 97212"
"
      7
    ",Wilson High School,"1151 SW Vermont St, Portland, OR 97219"
"
      6
    ",Cleveland High School,"3400 SE 26th Ave, Portland, OR 97202"
"
      6
    ",Franklin High School,"5405 SE Woodward St, Portland, OR 97206"
"
      6
    ",Madison High School,"2735 NE 82nd Ave, Portland, OR 97220"
"
      5
    ",Trillium,"5420 North Interstate Ave, Portland, OR 97217"
"
      5
    ",Leadership And Entrepreneurship Public Charter High School,"2044 E Burnside Street, Portland, OR 97214"
"
      4
    ",David Douglas High School,"1001 SE 135th Ave, Portland, OR 97233"
"
      4
    ",Benson Polytechnic High School,"546 NE 12th Ave, Portland, OR 97232"
"
      3
    ",Parkrose High School,"12003 NE Shaver St, Portland, OR 97220"
"
      3
    ",Jefferson High School,"5210 North Kerby Ave, Portland, OR 97217"
"
      1
    ",Centennial Learning Center,"17630 SE Main St, Portland, OR 97233"
