rating,school,address
"
      10
    ",Vancouver School of Arts and Academics,"3101 Main St, Vancouver, WA 98663"
"
      9
    ",Shahala Middle School,"601 Se 192nd Ave, Vancouver, WA 98683"
"
      8
    ",Alki Middle School,"1800 Nw Bliss Rd, Vancouver, WA 98685"
"
      8
    ",Vancouver iTech Preparatory,"14204 Ne Salmon Creek Ave, Vancouver, WA 98686"
"
      7
    ",Pleasant Valley Middle School,"14320 Ne 50th Ave, Vancouver, WA 98686"
"
      7
    ",Pacific Middle School,"2017 Ne 172nd Ave, Vancouver, WA 98684"
"
      6
    ",Jason Lee Middle School,"8500 Nw 9th Ave, Vancouver, WA 98665"
"
      6
    ",Jefferson Middle School,"3000 Nw 119th St, Vancouver, WA 98685"
"
      5
    ",Laurin Middle School,"13601 Ne 97th Ave, Vancouver, WA 98662"
"
      5
    ",Frontier Middle School,"7600 Ne 166th Ave, Vancouver, WA 98682"
"
      4
    ",Gaiser Middle School,"3000 Ne 99th St, Vancouver, WA 98665"
"
      3
    ",Cascade Middle School,"13900 Ne 18th St, Vancouver, WA 98684"
"
      3
    ",Covington Middle School,"11200 Ne Rosewood Rd, Vancouver, WA 98662"
"
      3
    ",Wyeast Middle School,"1112 Se 136th Ave, Vancouver, WA 98683"
"
      2
    ",McLoughlin Middle School,"5802 Macarthur Blvd, Vancouver, WA 98661"
"
      2
    ",Discovery Middle School,"800 East 40th St, Vancouver, WA 98663"
"
      2
    ",Vancouver Internet Connection,"301 South Lieser Rd, Vancouver, WA 98664"
"
      2
    ",NW Allprep,"237 Chkalov, Vancouver, WA 98684"
